pangolin.lineage	cdc.classification	cdc.variant.origin
B.1.526	VOI	United States (New York) – November 2020
B.1.526.1	VOI	United States (New York) – October 2020
B.1.525	VOI	United Kingdom/Nigeria – December 2020
P.2	VOI	Brazil – April 2020
B.1.617	VOI	India – February 2021
B.1.617.1	VOI	India – December 2020
B.1.617.2	VOI	India – December 2020
B.1.617.3	VOI	India – October 2020
B.1.1.7	VOC	United Kingdom
P.1	VOC	Japan/Brazil
B.1.351	VOC	South Africa
B.1.427	VOC	United States-(California)
B.1.429	VOC	United States-(California)
