Date,MMWR_week
January 03 - January 09,1
January 10 - January 16,2
January 17 - January 23,3
January 24 - January 30,4
January 31 - February 06,5
February 07 - February 13,6
February 14 - February 20,7
February 21 - February 27,8
February 28 - March 6,9
 March 07 - March 13,10
March 14 - March 20,11
March 21 - March 27,12
March 28 - April 03,13
April 04 - April 10,14
April 11 - April 17,15
April 18 - April 24,16
April 25 - May 01,17
May 02 - May 08,18
May 09 - May 15,19
May 16 - May 22,20
May 23 - May 29,21
May 30 - June 05,22
June 06 - June 12,23
June 13 - June 19,24
June 20 - June 26,25
June 27 - July 03,26
July 04 - July 10,27
July 11 - July 17,28
July 18 - July 24,29
July 25 - July 31,30
August 01 - August 07,31
August 08 - August 14,32
August 15 - August 21,33
August 22 - August 28,34
August 29 - September 04,35
,36
,37
,38
,39
,40
,41
,42
,43
,44
,45
,46
,47
,48
,49
,50
,51
,52
,53
